"t_id","t_date","t_text"
"1120655199130017792","4/23/2019 11:46","b'The Wall is being rapidly built! The Economy is GREAT! Our Country is Respected again!'"
"1120651611410436098","4/23/2019 11:32","b'.....But should be much higher than that if Twitter wasn\xe2\x80\x99t playing their political games. No wonder Congress wants\xe2\x80\xa6 https://t.co/e1I3vgV1Ug'"
"1120650189537202176","4/23/2019 11:26","b'\xe2\x80\x9cThe best thing ever to happen to Twitter is Donald Trump.\xe2\x80\x9d @MariaBartiromo  So true, but they don\xe2\x80\x99t treat me well\xe2\x80\xa6 https://t.co/5jwDvocFqG'"
"1120644639311134720","4/23/2019 11:04","b'\xe2\x80\x9cHarley Davidson has struggled with Tariffs with the EU, currently paying 31%. They\xe2\x80\x99ve had to move production overs\xe2\x80\xa6 https://t.co/r0RAX6jBHU'"
"1120642109676118016","4/23/2019 10:54","b'....Dumb and Sick. A really bad show with low ratings - and will only get worse. CNN has been a proven and long ter\xe2\x80\xa6 https://t.co/owlRr5I3P6'"
"1120639589994106881","4/23/2019 10:44","b'Sorry to say but @foxandfriends is by far the best of the morning political shows on television. It rightfully has\xe2\x80\xa6 https://t.co/SpyApUgKBK'"
"1120635200327831552","4/23/2019 10:27","b'In the \xe2\x80\x9cold days\xe2\x80\x9d if you were President and you had a good economy, you were basically immune from criticism. Remem\xe2\x80\xa6 https://t.co/lRBKqFnFle'"
"1120633085618421760","4/23/2019 10:18","b'The Radical Left Democrats, together with their leaders in the Fake News Media, have gone totally insane! I guess t\xe2\x80\xa6 https://t.co/m87QJerN6a'"
"1120632004138151939","4/23/2019 10:14","b'I will be going to Green Bay, Wisconsin, for a really big Rally on Saturday Evening. Big crowd expected, much to ta\xe2\x80\xa6 https://t.co/rhhg1sGlxo'"
"1120630405831569408","4/23/2019 10:08","b'I wonder if the New York Times will apologize to me a second time, as they did after the 2016 Election. But this on\xe2\x80\xa6 https://t.co/DTPoqOTP2D'"
"1120628334432608256","4/23/2019 9:59","b'Paul Krugman, of the Fake News New York Times, has lost all credibility, as has the Times itself, with his false an\xe2\x80\xa6 https://t.co/wEN7us3oQg'"
"1120524241752023040","4/23/2019 3:06","b'RT @realDonaldTrump: PRESIDENTIAL HARASSMENT! https://t.co/G3f6QBNSMa'"
"1120524027146194946","4/23/2019 3:05","b'RT @realDonaldTrump: Thank you @MarkLevinShow! #MAGA https://t.co/kff84hFgKP'"
"1120477290650116102","4/22/2019 23:59","b'RT @MarshaBlackburn: Here\xe2\x80\x99s what #TaxReform has brought to our country: \n\xe2\x9c\x853.2 million new jobs\n\xe2\x9c\x85A bigger paycheck for ~90% of taxpayers\n\xe2\x9c\x85Lo\xe2\x80\xa6'"
"1120477123561521152","4/22/2019 23:58","b'RT @SenKevinCramer: Created under the Tax Cuts and Jobs Act, Opportunity Zones help lift low income Americans out of poverty by encouraging\xe2\x80\xa6'"
"1120476999716429824","4/22/2019 23:58","b'RT @SenCapito: Last year, @SenatorTimScott and I toured #OpportunityZones in Huntington and saw the incredible potential in these designate\xe2\x80\xa6'"
"1120476671507881984","4/22/2019 23:57","b'RT @GOP: \xe2\x80\x9cIn the heartland, they want legislating, not investigating.\xe2\x80\x9d -@kayleighmcenany https://t.co/g6GNhJQGFS'"
"1120476356444327937","4/22/2019 23:55","b'RT @FLOTUS: Another wonderful Easter Egg roll!  @POTUS and I enjoyed meeting everyone!  Thank you to the many volunteers and vendors who wo\xe2\x80\xa6'"
"1120476318200737792","4/22/2019 23:55","b'RT @WhiteHouse: The 2019 Easter Egg Roll is almost here! \n\nPresident @realDonaldTrump and @FLOTUS will welcome guests to the White House fo\xe2\x80\xa6'"
"1120473747008442368","4/22/2019 23:45","b""RT @replouiegohmert: What I have accumulated here is absolutely shocking upon the realization that #Mueller's disreputable, twisted history\xe2\x80\xa6"""
"1120473592637153280","4/22/2019 23:44","b'RT @RepMarkMeadows: Absolutely devastating to see the news out of Sri Lanka this morning. These were Christians targeted simply for practic\xe2\x80\xa6'"
"1120473490430287878","4/22/2019 23:44","b'RT @RepMarkMeadows: Think about this: we had a President under a constant 2 year investigation for a fabricated collusion conspiracy, and y\xe2\x80\xa6'"
"1120473290374615041","4/22/2019 23:43","b'RT @Jim_Jordan: \xe2\x80\x9cRep. Jim Jordan on plans to investigate the origins of the Russia collusion investigation\xe2\x80\x9d\n\nhttps://t.co/4TraSR2jaM'"
"1120473215858552836","4/22/2019 23:43","b'RT @Jim_Jordan: Dems holding a conference call today to discuss their next moves now that Mueller announced no collusion and no obstruction\xe2\x80\xa6'"
"1120473115480469506","4/22/2019 23:43","b'RT @GOPoversight: Days since @RepCummings promised accountability for #MichaelCohen\xe2\x80\x99s lies: 54 https://t.co/no25hstV69'"
"1120472107819970560","4/22/2019 23:39","b""RT @DevinNunes: Carter Page: Mueller Report Shows He's Mr. Clean | National Review  https://t.co/ArJwbs3izo"""
"1120471960193052672","4/22/2019 23:38","b'RT @DevinNunes: Victor Davis Hanson: Mueller Probe Could Backfire on Those Who Fabricated Russia-Collusion Narrative - YouTube https://t.co\xe2\x80\xa6'"
"1120471906807894017","4/22/2019 23:38","b'RT @DevinNunes: Byron York: For some Dems, breaking up with dossier is hard to do \xe2\x81\xa6@ByronYork\xe2\x81\xa9  https://t.co/aVdNgcGv4m'"
"1120471716369661952","4/22/2019 23:37","b'RT @TomFitton: COUP: @RealDonaldTrump was right -- Mueller witchhunt part of #Spygate abuse begun by Obama DOJ/FBI, working with Hillary Cl\xe2\x80\xa6'"
"1120471626095779843","4/22/2019 23:37","b'RT @TomFitton: COUP UPDATE: Who needs to be investigated on #Spygate and other abuses targeting @RealDonaldTrump? Partial list:\n\nObama\n\nBid\xe2\x80\xa6'"
"1120471012636803072","4/22/2019 23:34","b""RT @drudgefeed: Woodward: Investigate FBICIA Handling of 'Garbage' Dossier... https://t.co/Py5AwZpRfy"""
"1120470760789893120","4/22/2019 23:33","b'RT @TomFitton: UNPRECEDENTED Spying Campaign on @RealDonaldTrump: DOJ/FBI/NSA/CIA/State -- ""all hands on deck"" in Obama administration\'s go\xe2\x80\xa6'"
"1120470593378430976","4/22/2019 23:33","b'RT @TomFitton: President @realDonaldTrump Should File a Criminal Complaint with DOJ over Illicit Targeting - @JudicialWatch https://t.co/oR\xe2\x80\xa6'"
"1120470548327424001","4/22/2019 23:32","b'RT @TomFitton: Mueller report full of gossip targeting @realDonaldTrump. https://t.co/lPEroontdg'"
"1120470320350212096","4/22/2019 23:31","b'RT @TomFitton: COUP Update: Mueller Report vindicates @RealDonaldTrump even as it tries to smear him PLUS new @JudicialWatch lawsuits on FB\xe2\x80\xa6'"
"1120469944133672960","4/22/2019 23:30","b'RT @GOPChairwoman: Joe Biden has been losing presidential elections since the 1980s. \n \n2020 will be no different.\n \nBiden will have to ans\xe2\x80\xa6'"
"1120469383703343105","4/22/2019 23:28","b'RT @MariaBartiromo: Rep. Ratcliffe: Mueller report proves Donald Trump was telling the truth about collusion https://t.co/dD5kCNBwKl  @Sund\xe2\x80\xa6'"
"1120440967247663111","4/22/2019 21:35","b'PRESIDENTIAL HARASSMENT! https://t.co/G3f6QBNSMa'"
"1120439873226399751","4/22/2019 21:30","b'This should NEVER happen to another President AGAIN! https://t.co/9fnYIzjKQX'"
"1120428611364970496","4/22/2019 20:46","b'Just spoke to @LouDobbs. Will be doing a very interesting show tonight at 7:00 P.M. Eastern on @FoxBusiness!'"
"1120412452766801922","4/22/2019 19:41","b'Today, @FLOTUS Melania and I are honored to host the 2019 @WhiteHouse Easter Egg Roll! https://t.co/dKxSefCl7H'"
"1120409894799253504","4/22/2019 19:31","b'Isn\xe2\x80\x99t it amazing that the people who were closest to me, by far, and knew the Campaign better than anyone, were nev\xe2\x80\xa6 https://t.co/ClhEC2oPGF'"
"1120402937782636547","4/22/2019 19:04","b'\xe2\x80\x9cA very exculpatory section of the Mueller Report: NO CONSPIRACY, COORDINATION or COLLUSION with the Trump Campaign\xe2\x80\xa6 https://t.co/ABGPbJaIGS'"
